,en,tn
490,cousin (on paternal uncle's side),بِنْتْ عَمْ
491,cousin (on paternal aunt's side),بِنْتْ عمَّة
492,niece,بِنْتْ لْخُو
493,adoption,تَبَنِّي
494,"under the same roof, living together",تَحْتْ سْقَفْ وَاحِدْ
495,birth control,تَحَكُّمْ فِي الوِلَادَاتْ
496,to become a widow(er),تْرَمِّلْ
497,to inherit,وْرِثْ
498,to become a father,وَلَّي بُو عَاْيلَةْ
499,"in-law, father-in-law",نْسِيبْ
500,cousin (father's brother's son),وِلْدْ عَمِّي
501,cousin (father's sister's son),وِلْدْ عَمْتِي
502,divorce,طْلَاقْ
503,divorce papers,وَرْقَةْ الطّْلَاقْ
504,familial,عَايْلِي
505,"father, dad",وَالِدْ
506,"related, from our family",مِلْ العَايْلَةْ
507,"grandmother, grandma",مَمَّاتْ
508,fatherless,مَعَنْدُوشْ بُو
509,"heir, one who inherits",وَارِثْ
510,distantly related to,يْكُونْ مِنُّو مِنْ بْعِيدْ
511,inheritance,وِرَاثَةْ
512,"spinster, older single woman",عَانِسْ
513,mommy,يَامِي
514,"mom, mommy",يَمَّا
515,married,مَعَرِّسْ
516,to remarry,عَاوِدْ عَرِّسْ
517,"orphan, his mother died",يْتِيمْ الأُمّْ
518,my cousin (maternal aunt),وِلْدْ خَالْتِي
519,my nephew (sister's son),وِلْدْ أُخْتِي
520,my son,وِلْدِي
521,"unmarried, single",مَاهُوشْ مَعَرِّسْ
522,"genaeology, ancestry",نَسْلْ
523,orphan,يْتِيمْ
524,"orphan, father died",يْتِيمْ البُو
525,"parent, guardian",وَلِيّْ الأَمْرْ
526,parents,وَالْدِينْ
527,she has a lot of children,عَنْدْهَا بَرْشَا ذِرِّي
528,"singleness for an older woman, spinsterhood",عُنُوسَةْ
529,"celibacy, singleness",عُزُوبِيَّةْ
530,widow,هَجَّالَةْ
531,prayers done before sitting in the mosque,تَحِيَّة المَسْجِدْ
532,interpretation of the Quran,تَفْسِيرْ القُرْآنْ
533,"Islamic thinking, philosophy",تَفْكِيرْ إسْلَامِي
534,"godliness, piety",تَقْوَى
535,"pious, godly, religious",تَقِي
536,"to reveal spiritual forces, spirits",تْكَشِّفْ عَلىَ العْبَادْ لُخْرَى
537,"to recite, quote (especially Quran)",تْلَا يَتْلُو
538,"to do ablutions, to wash before prayer in the mosque",توضّى
539,to do ablutions or purify oneself with a special rock,تْيَمِّمْ
540,allowed by religion,جَازْ شَرْعًا
541,Mosque,جَامَعْ
542,El Azhar Mosque in Cairo,جَامَعْ الأَزْهَرْ
543,Zeitouna Mosque in Tunis,جَامَعْ الزِيتُونَة
544,pre-Islamic era of ignorance,جَاهِلِيَّة
545,"Powerful, almighty",جَبّارْ
546,"tribute, required payment (often tied to Sharia law)",جِزْيَة
547,To repeatedly insult God or others,جَلْجِلْ
548,to speak quickly without stopping,جَلْجِلْ
549,Hijra and Takfir group; an Islamic extremist group,جْمَاعَة الهِجْرَة وَ التَّكْفِيرْ
550,"demon, spirit",جِنْ
551,the ambiance of the Eid,جَوّْ العِيدْ
552,someone who's made the pilgrimage to Mecca,حَاجْ
553,to go on pilgrimage to Mecca,حَجّْ
554,to go on pilgrimage to Karbala (Shiite),حَجْ إِلَى كَرْبَلَاءْ
555,veil,حِجَابْ
556,an authentic Hadith in islam,حَدِيثْ صَحِيحْ
557,Hadith whose authenticity is unclear,حَدِيثْ ضَعِيفْ
558,a Hadith received in Jerusalem,حَدِيثْ قُدُسِي
559,Hadith which is basically authentic,حَدِيثْ قَرِيبْ مِنَ الصَّحِيحْ
560,well-known and respected Hadith,حَدِيثْ مِتْوَاتِرْ
561,Hadith of Mohammed,حَدِيثْ نَبَوِي
562,"forbidden by religion, wrong",حْرَامْ
563,a small book in which there are Quranic verses or others for spiritual protection,حِرْزْ
564,"to change the meaning, corrupt",حَرِّفْ
565,"a religious music group that comes to chant the Quran over a new house, party, etc.",حِزْبْ اللّطِيفْ
566,"the one who judges, takes accounts (God)",حْسِيبُو
567,Islamic civilization,حَضَارَة الإسْلَامِيَّة
568,"musical group that sings at holy men's sites, celebrations",حَضْرَة
569,to put a hand of Fatima up,حَطْ خُمْسَة
570,"allowed, approved in religion",حْلالْ
571,beautiful woman in paradise (Islamic context),حُورِيَّة
572,he left Islam,خْرَجْ مِن الِملَّة
573,he left the group and became someone else,خْرَجْ مِن الِملَّة
574,the Friday speech of an imam at a mosque,خُطْبَة الجُمْعَة
575,Islamic caliphate,خِلَافَة إسْلَامِيَّة
576,he relied on God (usually when the person cannot do anything),خَلَّاهَا عَلَى رَبِّي
577,he made him live eternally in paradise,خَلّدو فِي الجَنَّة
578,caliph,خَلِيفَة
579,a Tunisian name,خَلِيفَة
580,a veil,خِمَارْ
581,hand of Fatima,خُمْسَة
582,Satan (who whispers and lies to people),خَنَّاسْ
583,Muslim brotherhood,خْوَانْجِيَّة
584,ISIS (Islamic State of Iraq and Syria),دَاعِشْ
585,he entered paradise,دْخَلْ الجَنَّة
586,"he entered paradise, the kingdom",دْخَلْ المَلَكُوتْ
587,he entered hell,دْخَلْ لِلْجَحِيمْ
588,"a prayer, request",دُعَاءْ
589,he prayed for the forgiveness of someone else's sins,دْعَالُو بِالمَغْفِرَة
590,he prays so that someone else might receive mercy,دْعَاوْلُو بِالرَّحْمَة
591,dogmatic,دُغْمَائِي
592,dogmatism,دُغْمَائِيَّة
593,"the afterlife, another life",دُنْيَا الأُخْرَى
594,invoke God,ذْكَرْ رَبِّي
595,The twelveth and final month of the islamic calendar,ذُو الحَجَّة
596,the eleventh month in the Islamic calendar,ذُو القَعْدَة
597,New Year's day in the Muslim calendar,رَاسْ العَامْ الهِجْرِي
598,Rabia 1: month in the Islamic calendar,رَبِيعْ الأَوَّلْ
599,Rabia 2: month in the Islamic calendar,رَبِيعْ الثَّانِي
600,"to read, chant the Quran or another holy book",رَتِّلْ
601,"cursed, evil (descriptor of Satan in Quran)",رَجِيمْ
602,"to deny a belief, reject religion",رْفَضْ الإيمَانْ
603,"Islamic healing method/magic for exorcism, etc.",رُقْيَة شَرْعِيَّة
604,"to bow to God, usually in prayer",رْكَعْ
605,Ramadhan,رُمْضَانْ
606,visited a saint (saint's tomb),زَارْ الوَلِي الصَّالَحْ
607,"holy man, Sufi's tomb",زَاوْيَة مْتَاعْ صُوفِيَّة
608,"party, feast at holy man's tomb",زَرْدَة
609,Irreligious,زِنْدِيقْ
610,"to worship, to bow down",سْجِدْ
611,"bowing down, prostration",سَجْدَة
612,one of the pilgrimage activities (walking between two springs),سَعي بَيْنَ الصَّفَا وَ المَرْوَا
613,"Peace, mercy and blessings from God",سَلَامُ عَلَيْكُمْ وَ رَحْمَةُ الله وَ بَرَكَاتُه
614,"Salafist, extremist",سَلَفِي
615,Salafism,سَلَفِيَّةْ
616,"Salafi Jihadism (extremism, terrorism)",سَلَفِيَّة جِهَادِيَّة
617,"Salafism by words alone, theoretical salafism",سَلَفِيَّة عِلْمِيَّة
618,"by the name of God, in God's name, protect us",سْمِلَّهْ
619,"Sunni, path of Mohammed",سُنَّةْ
620,Surah (in Quran),سورة
621,Polytheism,شِرْكْ
622,I'm getting ready to sleep.,هاني نحضر في روحي بش نرقد
623,Dad propped up the door with a pillar so it wouldn't fall.,بابا كالا الباب بعرصة بش ميطحش
624,The man yelled for help.,الراجل عيط بش إعاونوه
625,You should talk with him gently so it doesn't turn into a problem.,ماذا بيك تحكي معاه بالسياسة بش متوليش مشكلة الحكاية.
626,Fuad has no money for food.,فؤاد ما عنوش بش ياكل
627,Amin has a car and put it online to sell it.,أمين عندو كرهبا هبطها عل الأنترنات بش إبيعها
628,"Please, could I ask you something? How can I get to Marsa?",بالله بش نسهلك ، كيفاش نمشي للمرسى ،
629,He is planning to do something on New Year's.,معمل بش يعمل حاجة لراس العام
630,The kid is going to die of happiness because his dad bought him a bike.,الوليد بش إموت مل الفرحة على خاطر بوه شرالو بسكلات.
631,Your son has the right to inherit.,ولدك عندو الحق بش يورث
632,"Brother, these shoes are really expensive; can youlower the price for us?",خويا ، الصباط هذا غالي برشة ، بش تنقصلنا في السوم.
633,He's so skiny he's going to die; he's doing poorly.,ضعيف بش يموت في حالة
634,He worked hard to reach the top.,عمل مجهودو بش يوصل للصدارة
635,He passed the high school exam and is going to fly out of happiness.,نجح في الباك و بش إطير مل الفرحة.
636,He's eaten so much his stomach is going to explode.,كرشو بش تتفلق بالماكلة
637,Let's go home and let what may come come.,هي نمشو نروحو وخلي وين باش ترصي ترصي
638,I'm tired; I'm going to sleep now.,تاعب ماشي باش نرقد توا
639,"Think, now: are you going to go ahead or backward?",ثبت روحك بش تقدم و إلا بش توخر
640,I'm looking for a university where I can study theology.,نلوج على فاك بش نقرى فيها تيولوجي
641,We need a rod to hang the curtains.,لازمنا تيج بش نركبو الريدوات
642,The law will be enforced in full.,بش يتم تنفيذ القانون بحذافيره
643,We took the flight to go to Jerba.,خذينا الطيارة بش نمشيو لجربة
644,What stadium are they playing in today?,فانا ستاد بش يلعبو اليوم ،
645,Honk at him so he gets out of the road.,زمر عليه بش يبعد م الكياس
646,The big rival match will be played at the Rades stadium.,الدربي بش يتلعب في ستاد رادس
647,It's not just going to be a passing rain.,ماهيش بش تصب سحاب متعدي و برا
648,I'm going to the doctor to get a certificate.,ماشي للطبيب بش ندبر سرتفيكة
649,Now Mister President is going to speak.,توا بش يحكي سعادة الرئيس
650,I'm going to complain to you superior.,بش نشكي للسوباريور متاعك
651,He went to SONED to pay the water bill.,مشى للسوناد بش يخلص فاتورة الماء
652,He played the middle man to get him a job.,توسطلو بش يدبرلو خدمة
653,He's acting sick so he doesn't have to go to work.,يتمارض بش ما يمشيش يخدم
654,The factory's director gave orders for us to work on Sunday.,مدير المعمل أعطى تعليماتو بش نخدمو نهار الأحد
655,Hurry up a little so we can get there on time.,إزرب شويا بش نخلطو في الوقت
656,Are you going to give things to the bride for the wedding?,بش تعملو رمو فالعرس ،
657,She put the sample in the tube to test it.,حطت العينة في التوب بش تحللها
658,We talked with him for two hours to calm him down.,ساعتين نحكيو معاه بش ركح
659,He ate a lot and loosened his belt to relax.,كلا برشة ياخي رخف السبتة بش يرتاح
660,He's going to take himself to destruction.,بش يهز روحو للتهلكة
661,He gave an introduction to the subject he's going to talk about.,عمل تقديم للموضوع إلي بش يحكي فيه
662,Islamic law,شَرِيعَة
663,"to light two candles in the Saint's tomb, visit the saint",شعّل شمعتين في قبر الولي
